Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.002,
Horizontal Delay,0,
Sample Interval,2e-05,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.5
Vertical Position,-1.96,-2.96
,,
,,
,,
Label,,
TIME,CH1,CH2
-6.680e-03,0.084375,0.0436719
-6.660e-03,0.0196875,-0.0046875
-6.640e-03,-0.00625,-0.0283594
-6.620e-03,-0.00625,-0.0310938
-6.600e-03,-0.0075,-0.0164062
-6.580e-03,0.0246875,0.00632813
-6.560e-03,0.0796875,0.0557031
-6.540e-03,0.1625,0.117812
-6.520e-03,0.248125,0.199766
-6.500e-03,0.316562,0.297734
-6.480e-03,0.469062,0.415703
-6.460e-03,0.611875,0.545781
-6.440e-03,0.787812,0.698437
-6.420e-03,0.961875,0.865781
-6.400e-03,1.16219,1.04656
-6.380e-03,1.34781,1.23539
-6.360e-03,1.55125,1.43383
-6.340e-03,1.77594,1.63813
-6.320e-03,2.05,1.86758
-6.300e-03,2.31656,2.10031
-6.280e-03,2.6,2.33422
-6.260e-03,2.86781,2.51422
-6.240e-03,3.15594,2.54609
-6.220e-03,3.45125,2.53891
-6.200e-03,3.72594,2.53492
-6.180e-03,3.99125,2.52141
-6.160e-03,4.27313,2.52227
-6.140e-03,4.60938,2.52234
-6.120e-03,4.90188,2.51875
-6.100e-03,5.22375,2.51906
-6.080e-03,5.52875,2.51938
-6.060e-03,5.85344,2.51406
-6.040e-03,6.16563,2.52281
-6.020e-03,6.46625,2.51828
-6.000e-03,6.76219,2.5175
-5.980e-03,7.02937,2.52438
-5.960e-03,7.34844,2.51922
-5.940e-03,7.61937,2.52344
-5.920e-03,7.87,2.52422
-5.900e-03,8.11313,2.52141
-5.880e-03,8.36344,2.52648
-5.860e-03,8.59437,2.52516
-5.840e-03,8.78844,2.52836
-5.820e-03,8.9775,2.52914
-5.800e-03,9.11781,2.53094
-5.780e-03,9.2725,2.53609
-5.760e-03,9.42406,2.53062
-5.740e-03,9.54125,2.53609
-5.720e-03,9.65781,2.53734
-5.700e-03,9.73906,2.54328
-5.680e-03,9.81312,2.545
-5.660e-03,9.85875,2.54148
-5.640e-03,9.905,2.54555
-5.620e-03,9.9125,2.54125
-5.600e-03,9.92219,2.54633
-5.580e-03,9.86969,2.54055
-5.560e-03,9.81781,2.55023
-5.540e-03,9.75812,2.55375
-5.520e-03,9.66688,2.55023
-5.500e-03,9.54406,2.55367
-5.480e-03,9.41469,2.55375
-5.460e-03,9.27531,2.55422
-5.440e-03,9.13281,2.55898
-5.420e-03,8.97281,2.55367
-5.400e-03,8.7725,2.55563
-5.380e-03,8.57656,2.55555
-5.360e-03,8.35438,2.55953
-5.340e-03,8.11562,2.5593
-5.320e-03,7.85375,2.55664
-5.300e-03,7.60656,2.56344
-5.280e-03,7.32125,2.55875
-5.260e-03,7.03562,2.56023
-5.240e-03,6.75719,2.56039
-5.220e-03,6.46594,2.56383
-5.200e-03,6.16625,2.55812
-5.180e-03,5.85656,2.55938
-5.160e-03,5.54937,2.55812
-5.140e-03,5.22969,2.55742
-5.120e-03,4.92625,2.56156
-5.100e-03,4.60313,2.55289
-5.080e-03,4.29188,2.55367
-5.060e-03,3.99656,2.55492
-5.040e-03,3.72625,2.55656
-5.020e-03,3.45469,2.55078
-5.000e-03,3.14656,2.54203
-4.980e-03,2.86344,2.50844
-4.960e-03,2.58094,2.32891
-4.940e-03,2.31562,2.0832
-4.920e-03,2.05375,1.84766
-4.900e-03,1.81219,1.60883
-4.880e-03,1.55687,1.40695
-4.860e-03,1.34375,1.20648
-4.840e-03,1.15094,1.01156
-4.820e-03,0.950625,0.832187
-4.800e-03,0.775313,0.668984
-4.780e-03,0.610313,0.519687
-4.760e-03,0.465625,0.383203
-4.740e-03,0.3325,0.275234
-4.720e-03,0.235937,0.179688
-4.700e-03,0.1375,0.107187
-4.680e-03,0.0746875,0.0469531
-4.660e-03,0.02,-0.000703125
-4.640e-03,0.0065625,-0.0288281
-4.620e-03,-0.0109375,-0.0332031
-4.600e-03,-0.00625,-0.0204688
-4.580e-03,0.0228125,0.005
-4.560e-03,0.06,0.0507031
-4.540e-03,0.1325,0.118125
-4.520e-03,0.244687,0.198125
-4.500e-03,0.346875,0.294766
-4.480e-03,0.466875,0.409297
-4.460e-03,0.6175,0.547031
-4.440e-03,0.77875,0.701797
-4.420e-03,0.951563,0.860469
-4.400e-03,1.1425,1.04602
-4.380e-03,1.34437,1.2368
-4.360e-03,1.54281,1.43023
-4.340e-03,1.79438,1.63906
-4.320e-03,2.0625,1.86906
-4.300e-03,2.31906,2.10234
-4.280e-03,2.5825,2.33445
-4.260e-03,2.85719,2.51703
-4.240e-03,3.14219,2.54742
-4.220e-03,3.4425,2.5382
-4.200e-03,3.74562,2.53563
-4.180e-03,3.99531,2.52875
-4.160e-03,4.29594,2.52289
-4.140e-03,4.60562,2.52344
-4.120e-03,4.92063,2.52055
-4.100e-03,5.22469,2.52266
-4.080e-03,5.53313,2.52406
-4.060e-03,5.85656,2.51656
-4.040e-03,6.16531,2.51703
-4.020e-03,6.46469,2.5168
-4.000e-03,6.74156,2.5243
-3.980e-03,7.03187,2.52164
-3.960e-03,7.33625,2.52258
-3.940e-03,7.59969,2.52234
-3.920e-03,7.87344,2.51766
-3.900e-03,8.12312,2.52602
-3.880e-03,8.36688,2.52539
-3.860e-03,8.58906,2.52836
-3.840e-03,8.77844,2.52594
-3.820e-03,8.98438,2.53008
-3.800e-03,9.12937,2.53195
-3.780e-03,9.28562,2.53203
-3.760e-03,9.42219,2.53797
-3.740e-03,9.54594,2.53758
-3.720e-03,9.65625,2.53891
-3.700e-03,9.75875,2.54086
-3.680e-03,9.81156,2.54141
-3.660e-03,9.88563,2.54414
-3.640e-03,9.89594,2.54594
-3.620e-03,9.90219,2.54586
-3.600e-03,9.90656,2.54742
-3.580e-03,9.87531,2.54586
-3.560e-03,9.81438,2.54812
-3.540e-03,9.73625,2.55461
-3.520e-03,9.65375,2.5507
-3.500e-03,9.5475,2.5475
-3.480e-03,9.4125,2.54977
-3.460e-03,9.2925,2.5557
-3.440e-03,9.12094,2.56266
-3.420e-03,8.97594,2.56039
-3.400e-03,8.79031,2.55711
-3.380e-03,8.58875,2.55727
-3.360e-03,8.35625,2.56234
-3.340e-03,8.11875,2.55875
-3.320e-03,7.85688,2.5568
-3.300e-03,7.60688,2.56141
-3.280e-03,7.32969,2.55828
-3.260e-03,7.0475,2.56094
-3.240e-03,6.75594,2.55711
-3.220e-03,6.47531,2.55828
-3.200e-03,6.185,2.55586
-3.180e-03,5.85313,2.55547
-3.160e-03,5.53906,2.55641
-3.140e-03,5.21875,2.55602
-3.120e-03,4.90313,2.55523
-3.100e-03,4.58188,2.55867
-3.080e-03,4.28719,2.55281
-3.060e-03,3.98969,2.55578
-3.040e-03,3.74063,2.54828
-3.020e-03,3.45906,2.54711
-3.000e-03,3.17031,2.54461
-2.980e-03,2.86094,2.50945
-2.960e-03,2.59187,2.33125
-2.940e-03,2.30687,2.07961
-2.920e-03,2.05406,1.84195
-2.900e-03,1.79219,1.61422
