Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.002,
Horizontal Delay,0,
Sample Interval,2e-05,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.5
Vertical Position,-2.04,-0.42
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.000e-02,6.7175,0.463984
-9.980e-03,7.0125,0.46875
-9.960e-03,7.30563,0.469141
-9.940e-03,7.59406,0.468516
-9.920e-03,7.85281,0.464297
-9.900e-03,8.08844,0.467891
-9.880e-03,8.34625,0.470313
-9.860e-03,8.56188,0.474375
-9.840e-03,8.78469,0.472578
-9.820e-03,8.97031,0.473203
-9.800e-03,9.13813,0.475234
-9.780e-03,9.27781,0.47625
-9.760e-03,9.42687,0.483437
-9.740e-03,9.52625,0.485469
-9.720e-03,9.6625,0.482422
-9.700e-03,9.72312,0.480391
-9.680e-03,9.80906,0.485391
-9.660e-03,9.88531,0.4875
-9.640e-03,9.90625,0.487812
-9.620e-03,9.91938,0.489922
-9.600e-03,9.88469,0.490938
-9.580e-03,9.89187,0.495156
-9.560e-03,9.83625,0.498359
-9.540e-03,9.75594,0.499141
-9.520e-03,9.67031,0.498516
-9.500e-03,9.56813,0.499375
-9.480e-03,9.44469,0.498125
-9.460e-03,9.31094,0.501641
-9.440e-03,9.17125,0.503047
-9.420e-03,9.01,0.501875
-9.400e-03,8.81906,0.504453
-9.380e-03,8.60438,0.502109
-9.360e-03,8.39,0.503594
-9.340e-03,8.13781,0.504453
-9.320e-03,7.89469,0.504297
-9.300e-03,7.63,0.509844
-9.280e-03,7.36375,0.509219
-9.260e-03,7.08094,0.51
-9.240e-03,6.79969,0.509453
-9.220e-03,6.50281,0.50875
-9.200e-03,6.21875,0.508047
-9.180e-03,5.88719,0.510938
-9.160e-03,5.58531,0.512891
-9.140e-03,5.26656,0.504687
-9.120e-03,4.96906,0.50875
-9.100e-03,4.63438,0.507891
-9.080e-03,4.33469,0.5075
-9.060e-03,4.06187,0.508516
-9.040e-03,3.78656,0.506563
-9.020e-03,3.495,0.511563
-9.000e-03,3.1875,0.504609
-8.980e-03,2.90813,0.504531
-8.960e-03,2.62688,0.500313
-8.940e-03,2.33688,0.502109
-8.920e-03,2.08062,0.508203
-8.900e-03,1.83531,0.494453
-8.880e-03,1.59563,0.497422
-8.860e-03,1.38437,0.493594
-8.840e-03,1.18562,0.494922
-8.820e-03,0.979375,0.496328
-8.800e-03,0.778125,0.494062
-8.780e-03,0.620312,0.476016
-8.760e-03,0.465625,0.393828
-8.740e-03,0.33,0.288984
-8.720e-03,0.235937,0.205312
-8.700e-03,0.150313,0.133594
-8.680e-03,0.0675,0.0719531
-8.660e-03,0.039375,0.0283594
-8.640e-03,0.005,-0.0075
-8.620e-03,-0.01125,-0.015625
-8.600e-03,-0.005,-0.00414063
-8.580e-03,0.0190625,0.0248437
-8.560e-03,0.06,0.0632031
-8.540e-03,0.135937,0.117578
-8.520e-03,0.22125,0.190547
-8.500e-03,0.322812,0.265547
-8.480e-03,0.448125,0.366328
-8.460e-03,0.597812,0.456094
