Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.002,
Horizontal Delay,0,
Sample Interval,2e-05,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.5
Vertical Position,-2.04,-0.42
,,
,,
,,
Label,,
TIME,CH1,CH2
-6.680e-03,0.10125,0.078125
-6.660e-03,0.0375,0.0261719
-6.640e-03,0.0025,-0.003125
-6.620e-03,-0.005,-0.00953125
-6.600e-03,-0.0053125,-0.000625
-6.580e-03,0.0184375,0.0214062
-6.560e-03,0.08625,0.0698437
-6.540e-03,0.152188,0.126797
-6.520e-03,0.205312,0.197187
-6.500e-03,0.315625,0.278438
-6.480e-03,0.454063,0.386094
-6.460e-03,0.60375,0.504297
-6.440e-03,0.764375,0.609453
-6.420e-03,0.945625,0.646953
-6.400e-03,1.14062,0.640859
-6.380e-03,1.33937,0.637031
-6.360e-03,1.55313,0.631094
-6.340e-03,1.77844,0.631641
-6.320e-03,2.02969,0.626953
-6.300e-03,2.29906,0.629922
-6.280e-03,2.57875,0.623281
-6.260e-03,2.83,0.62375
-6.240e-03,3.11625,0.620469
-6.220e-03,3.44156,0.623281
-6.200e-03,3.72375,0.625547
-6.180e-03,4.01,0.620625
-6.160e-03,4.27375,0.627188
-6.140e-03,4.57344,0.619922
-6.120e-03,4.91344,0.623359
-6.100e-03,5.21125,0.621953
-6.080e-03,5.49875,0.623984
-6.060e-03,5.855,0.626328
-6.040e-03,6.15969,0.628281
-6.020e-03,6.45219,0.626406
-6.000e-03,6.72,0.627266
-5.980e-03,7.02844,0.630391
-5.960e-03,7.31,0.6325
-5.940e-03,7.58156,0.629687
-5.920e-03,7.8475,0.634766
-5.900e-03,8.08812,0.636563
-5.880e-03,8.34219,0.634297
-5.860e-03,8.57969,0.634141
-5.840e-03,8.78156,0.637969
-5.820e-03,8.97719,0.641406
-5.800e-03,9.13687,0.641563
-5.780e-03,9.27688,0.642344
-5.760e-03,9.40781,0.647969
-5.740e-03,9.5325,0.646484
-5.720e-03,9.66156,0.644844
-5.700e-03,9.74563,0.64375
-5.680e-03,9.81469,0.648906
-5.660e-03,9.86875,0.649844
-5.640e-03,9.90062,0.650547
-5.620e-03,9.92438,0.649922
-5.600e-03,9.9025,0.653125
-5.580e-03,9.8725,0.656016
-5.560e-03,9.83031,0.65625
-5.540e-03,9.76906,0.657109
-5.520e-03,9.6825,0.661172
-5.500e-03,9.57,0.661094
-5.480e-03,9.4425,0.663828
-5.460e-03,9.31062,0.664062
-5.440e-03,9.17969,0.668047
