Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.002,
Horizontal Delay,0,
Sample Interval,2e-05,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.5
Vertical Position,-2.04,-0.42
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.000e-02,6.72656,0.986641
-9.980e-03,7.01656,0.982656
-9.960e-03,7.29844,0.985547
-9.940e-03,7.58625,0.985313
-9.920e-03,7.84812,0.985313
-9.900e-03,8.08406,0.989375
-9.880e-03,8.33625,0.990469
-9.860e-03,8.56625,0.992734
-9.840e-03,8.79,0.988125
-9.820e-03,8.95906,0.990547
-9.800e-03,9.13063,0.991563
-9.780e-03,9.26469,0.997344
-9.760e-03,9.41375,0.999141
-9.740e-03,9.55031,0.996641
-9.720e-03,9.63656,0.999531
-9.700e-03,9.73844,1.00188
-9.680e-03,9.82469,1.00281
-9.660e-03,9.88438,1.0075
-9.640e-03,9.905,1.00664
-9.620e-03,9.89969,1.00727
-9.600e-03,9.915,1.01023
-9.580e-03,9.88406,1.00906
-9.560e-03,9.83125,1.00664
-9.540e-03,9.75281,1.01336
-9.520e-03,9.67781,1.01328
-9.500e-03,9.5625,1.01234
-9.480e-03,9.43969,1.01859
-9.460e-03,9.30969,1.01687
-9.440e-03,9.16656,1.02359
-9.420e-03,9.00313,1.01961
-9.400e-03,8.81687,1.01922
-9.380e-03,8.60656,1.02164
-9.360e-03,8.3975,1.01859
-9.340e-03,8.14,1.02461
-9.320e-03,7.90031,1.02211
-9.300e-03,7.62844,1.0243
-9.280e-03,7.37469,1.02297
-9.260e-03,7.0775,1.02711
-9.240e-03,6.78937,1.02461
-9.220e-03,6.515,1.02367
-9.200e-03,6.20937,1.02047
-9.180e-03,5.90156,1.02516
-9.160e-03,5.57531,1.02109
-9.140e-03,5.27844,1.0218
-9.120e-03,4.96219,1.02453
-9.100e-03,4.65969,1.02695
-9.080e-03,4.3425,1.02406
-9.060e-03,4.06,1.01789
-9.040e-03,3.78406,1.02492
-9.020e-03,3.50687,1.01805
-9.000e-03,3.20719,1.02047
-8.980e-03,2.91688,1.01867
-8.960e-03,2.63312,1.01547
-8.940e-03,2.35156,1.01203
-8.920e-03,2.08062,1.01078
-8.900e-03,1.82938,1.01094
-8.880e-03,1.58688,1.01344
-8.860e-03,1.38563,1.00727
-8.840e-03,1.18031,0.967109
-8.820e-03,0.980938,0.844766
-8.800e-03,0.78875,0.691797
-8.780e-03,0.638438,0.536641
-8.760e-03,0.489063,0.413906
-8.740e-03,0.349063,0.294531
-8.720e-03,0.241563,0.201875
-8.700e-03,0.174062,0.129453
-8.680e-03,0.105,0.0652344
-8.660e-03,0.0371875,0.0202344
-8.640e-03,0.011875,-0.00445313
-8.620e-03,-0.0028125,-0.015625
-8.600e-03,0.0065625,-0.00914063
-8.580e-03,0.0309375,0.0149219
-8.560e-03,0.0684375,0.0663281
-8.540e-03,0.15,0.121328
-8.520e-03,0.22375,0.197266
-8.500e-03,0.32875,0.284766
-8.480e-03,0.430938,0.390547
