Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.002,
Horizontal Delay,0,
Sample Interval,2e-05,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.5
Vertical Position,-2.04,-0.42
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.000e-02,6.75781,1.1575
-9.980e-03,7.04094,1.15633
-9.960e-03,7.34063,1.15422
-9.940e-03,7.62125,1.15367
-9.920e-03,7.85531,1.15859
-9.900e-03,8.12719,1.15992
-9.880e-03,8.35125,1.15859
-9.860e-03,8.58219,1.1607
-9.840e-03,8.80656,1.16289
-9.820e-03,8.98719,1.16563
-9.800e-03,9.14719,1.16219
-9.780e-03,9.29719,1.16719
-9.760e-03,9.42594,1.16836
-9.740e-03,9.53844,1.17055
-9.720e-03,9.66625,1.17039
-9.700e-03,9.74969,1.16977
-9.680e-03,9.80969,1.17594
-9.660e-03,9.87344,1.17469
-9.640e-03,9.8975,1.17977
-9.620e-03,9.89313,1.17766
-9.600e-03,9.91062,1.17563
-9.580e-03,9.8525,1.18211
-9.560e-03,9.82406,1.17781
-9.540e-03,9.74281,1.17797
-9.520e-03,9.65687,1.18273
-9.500e-03,9.56,1.18563
-9.480e-03,9.43219,1.18883
-9.460e-03,9.27406,1.18867
-9.440e-03,9.15312,1.19258
-9.420e-03,8.97844,1.18938
-9.400e-03,8.78281,1.18938
-9.380e-03,8.57812,1.19586
-9.360e-03,8.35375,1.1918
-9.340e-03,8.12156,1.19305
-9.320e-03,7.86469,1.19352
-9.300e-03,7.60813,1.19258
-9.280e-03,7.33062,1.19891
-9.260e-03,7.02844,1.19344
-9.240e-03,6.75281,1.19664
-9.220e-03,6.46844,1.19508
-9.200e-03,6.16656,1.19352
-9.180e-03,5.85094,1.19625
-9.160e-03,5.54375,1.19672
-9.140e-03,5.2225,1.19305
-9.120e-03,4.90188,1.19336
-9.100e-03,4.59344,1.19531
-9.080e-03,4.28594,1.19039
-9.060e-03,4.03625,1.18797
-9.040e-03,3.74063,1.19352
-9.020e-03,3.4625,1.19211
-9.000e-03,3.1625,1.18539
-8.980e-03,2.85469,1.18273
-8.960e-03,2.58594,1.18102
-8.940e-03,2.30375,1.18109
-8.920e-03,2.03875,1.18195
-8.900e-03,1.78688,1.17594
-8.880e-03,1.55625,1.1757
-8.860e-03,1.36063,1.14312
-8.840e-03,1.13594,0.99375
-8.820e-03,0.94125,0.839844
-8.800e-03,0.763125,0.675
-8.780e-03,0.597812,0.525781
-8.760e-03,0.460313,0.395703
-8.740e-03,0.330625,0.278672
-8.720e-03,0.219375,0.1925
-8.700e-03,0.135937,0.126094
-8.680e-03,0.0765625,0.0617969
-8.660e-03,0.0175,0.0121875
-8.640e-03,0.001875,-0.010625
-8.620e-03,-0.020625,-0.0161719
-8.600e-03,0.003125,-0.0103125
-8.580e-03,0.0275,0.0217969
-8.560e-03,0.071875,0.0664062
-8.540e-03,0.148438,0.134062
-8.520e-03,0.222187,0.20375
-8.500e-03,0.329687,0.294453
-8.480e-03,0.457813,0.411094
