Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.002,
Horizontal Delay,0,
Sample Interval,2e-05,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,1
Vertical Position,-1.96,-2.96
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.000e-02,6.77281,6.22719
-9.980e-03,7.05281,6.31969
-9.960e-03,7.35281,6.30563
-9.940e-03,7.61187,6.29844
-9.920e-03,7.86406,6.29547
-9.900e-03,8.13312,6.29297
-9.880e-03,8.36562,6.29094
-9.860e-03,8.58781,6.28859
-9.840e-03,8.7925,6.28219
-9.820e-03,8.98094,6.28812
-9.800e-03,9.13344,6.28828
-9.780e-03,9.27688,6.29063
-9.760e-03,9.41375,6.28781
-9.740e-03,9.54063,6.29406
-9.720e-03,9.64125,6.29234
-9.700e-03,9.74094,6.28344
-9.680e-03,9.80375,6.29828
-9.660e-03,9.84625,6.295
-9.640e-03,9.90125,6.30234
-9.620e-03,9.89281,6.29188
-9.600e-03,9.87906,6.30203
-9.580e-03,9.85938,6.29969
-9.560e-03,9.79406,6.30187
-9.540e-03,9.735,6.30453
-9.520e-03,9.635,6.30563
-9.500e-03,9.52094,6.31219
-9.480e-03,9.3875,6.30312
-9.460e-03,9.2625,6.30922
-9.440e-03,9.095,6.30563
-9.420e-03,8.95188,6.30828
-9.400e-03,8.76781,6.30875
-9.380e-03,8.55281,6.31391
-9.360e-03,8.31281,6.31328
-9.340e-03,8.07281,6.31359
-9.320e-03,7.83625,6.30938
-9.300e-03,7.55531,6.30125
-9.280e-03,7.29438,6.29531
-9.260e-03,6.99531,6.29109
-9.240e-03,6.7125,6.17016
-9.220e-03,6.41938,5.91969
-9.200e-03,6.12375,5.64891
-9.180e-03,5.81219,5.36922
-9.160e-03,5.50938,5.085
-9.140e-03,5.17812,4.78437
-9.120e-03,4.88125,4.47938
-9.100e-03,4.55,4.19937
-9.080e-03,4.23875,3.89812
-9.060e-03,3.95875,3.61359
-9.040e-03,3.72063,3.33281
-9.020e-03,3.41875,3.05078
-9.000e-03,3.12719,2.7975
-8.980e-03,2.835,2.53937
-8.960e-03,2.56062,2.28219
-8.940e-03,2.30063,2.03203
-8.920e-03,2.02469,1.78328
-8.900e-03,1.77062,1.55625
-8.880e-03,1.55594,1.33672
-8.860e-03,1.3175,1.12031
-8.840e-03,1.12344,0.937344
-8.820e-03,0.932187,0.750938
-8.800e-03,0.763437,0.584687
-8.780e-03,0.596875,0.455938
-8.760e-03,0.455625,0.331875
-8.740e-03,0.351875,0.234375
-8.720e-03,0.240937,0.119063
-8.700e-03,0.152813,0.0432812
-8.680e-03,0.073125,-0.0125
-8.660e-03,0.019375,-0.050625
-8.640e-03,-0.005,-0.0834375
-8.620e-03,-0.0040625,-0.0975
-8.600e-03,0.0140625,-0.0779688
-8.580e-03,0.0271875,-0.0435938
-8.560e-03,0.085,0.00359375
-8.540e-03,0.147812,0.0709375
-8.520e-03,0.2375,0.162344
-8.500e-03,0.36,0.268594
-8.480e-03,0.469062,0.375469
