Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.002,
Horizontal Delay,0,
Sample Interval,2e-05,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,1
Vertical Position,-1.96,-2.96
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.000e-02,6.79156,4.8475
-9.980e-03,7.08656,4.84109
-9.960e-03,7.39125,4.83688
-9.940e-03,7.645,4.83484
-9.920e-03,7.89312,4.84219
-9.900e-03,8.14187,4.82906
-9.880e-03,8.39719,4.83672
-9.860e-03,8.6075,4.84422
-9.840e-03,8.81531,4.84297
-9.820e-03,8.99687,4.83781
-9.800e-03,9.13375,4.84531
-9.780e-03,9.29531,4.83969
-9.760e-03,9.43469,4.84453
-9.740e-03,9.55375,4.84672
-9.720e-03,9.66875,4.85406
-9.700e-03,9.76312,4.84703
-9.680e-03,9.79375,4.85359
-9.660e-03,9.86688,4.85656
-9.640e-03,9.89031,4.85172
-9.620e-03,9.9075,4.86234
-9.600e-03,9.89469,4.86094
-9.580e-03,9.8375,4.85531
-9.560e-03,9.81938,4.85734
-9.540e-03,9.71562,4.85828
-9.520e-03,9.63031,4.86453
-9.500e-03,9.5125,4.86891
-9.480e-03,9.3825,4.86703
-9.460e-03,9.24656,4.86156
-9.440e-03,9.095,4.86656
-9.420e-03,8.92844,4.87469
-9.400e-03,8.74031,4.86469
-9.380e-03,8.53719,4.86937
-9.360e-03,8.30438,4.87641
-9.340e-03,8.07313,4.86984
-9.320e-03,7.81687,4.87156
-9.300e-03,7.5575,4.87609
-9.280e-03,7.28437,4.86141
-9.260e-03,6.9925,4.86234
-9.240e-03,6.685,4.86891
-9.220e-03,6.40563,4.86562
-9.200e-03,6.11625,4.86156
-9.180e-03,5.80156,4.85672
-9.160e-03,5.49094,4.85375
-9.140e-03,5.17844,4.74391
-9.120e-03,4.84187,4.47781
-9.100e-03,4.54969,4.19094
-9.080e-03,4.23844,3.9075
-9.060e-03,3.9475,3.61734
-9.040e-03,3.69031,3.32422
-9.020e-03,3.41125,3.04906
-9.000e-03,3.09719,2.79703
-8.980e-03,2.795,2.53875
-8.960e-03,2.54625,2.27438
-8.940e-03,2.26938,2.015
-8.920e-03,2.015,1.77844
-8.900e-03,1.75406,1.56547
-8.880e-03,1.51969,1.33609
-8.860e-03,1.3075,1.13625
-8.840e-03,1.10437,0.944375
-8.820e-03,0.935625,0.76875
-8.800e-03,0.771562,0.598594
-8.780e-03,0.587187,0.459531
-8.760e-03,0.431563,0.339375
-8.740e-03,0.336562,0.230625
-8.720e-03,0.223125,0.136406
-8.700e-03,0.126562,0.0584375
-8.680e-03,0.0771875,-0.00875
-8.660e-03,0.0325,-0.0395313
-8.640e-03,0.0140625,-0.0598438
-8.620e-03,-0.010625,-0.0629688
-8.600e-03,0.006875,-0.05375
-8.580e-03,0.031875,-0.0185937
-8.560e-03,0.0903125,0.0251562
-8.540e-03,0.144687,0.099375
-8.520e-03,0.253125,0.189062
-8.500e-03,0.358125,0.291562
-8.480e-03,0.498437,0.401094
