Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.002,
Horizontal Delay,0,
Sample Interval,2e-05,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.5
Vertical Position,-2.04,-0.42
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.000e-02,6.77406,1.39187
-9.980e-03,7.05344,1.39258
-9.960e-03,7.34812,1.39078
-9.940e-03,7.6275,1.39367
-9.920e-03,7.8875,1.39508
-9.900e-03,8.13844,1.39734
-9.880e-03,8.36937,1.40172
-9.860e-03,8.58656,1.40031
-9.840e-03,8.79594,1.39758
-9.820e-03,8.995,1.39789
-9.800e-03,9.16688,1.40055
-9.780e-03,9.28813,1.40453
-9.760e-03,9.42656,1.40266
-9.740e-03,9.55875,1.41039
-9.720e-03,9.65844,1.40883
-9.700e-03,9.75656,1.41414
-9.680e-03,9.81469,1.40977
-9.660e-03,9.87031,1.41063
-9.640e-03,9.92594,1.41141
-9.620e-03,9.90594,1.4132
-9.600e-03,9.90469,1.41586
-9.580e-03,9.86094,1.41875
-9.560e-03,9.82781,1.42055
-9.540e-03,9.71969,1.41422
-9.520e-03,9.66375,1.41797
-9.500e-03,9.53406,1.41945
-9.480e-03,9.41156,1.41898
-9.460e-03,9.26156,1.42398
-9.440e-03,9.15938,1.42359
-9.420e-03,8.98625,1.42609
-9.400e-03,8.77437,1.42547
-9.380e-03,8.5825,1.42156
-9.360e-03,8.35187,1.42414
-9.340e-03,8.12375,1.42875
-9.320e-03,7.86438,1.42852
-9.300e-03,7.56438,1.42914
-9.280e-03,7.30625,1.42414
-9.260e-03,7.0275,1.4318
-9.240e-03,6.74188,1.43063
-9.220e-03,6.46063,1.4293
-9.200e-03,6.17219,1.43508
-9.180e-03,5.8425,1.42945
-9.160e-03,5.52125,1.42594
-9.140e-03,5.20281,1.4318
-9.120e-03,4.89406,1.4268
-9.100e-03,4.59438,1.42523
-9.080e-03,4.275,1.42492
-9.060e-03,4.00812,1.42766
-9.040e-03,3.72594,1.42711
-9.020e-03,3.44625,1.42336
-9.000e-03,3.145,1.42242
-8.980e-03,2.86,1.42336
-8.960e-03,2.56937,1.41789
-8.940e-03,2.2825,1.41695
-8.920e-03,2.03906,1.41211
-8.900e-03,1.7725,1.40938
-8.880e-03,1.56,1.35344
-8.860e-03,1.355,1.18969
-8.840e-03,1.13937,1.00047
-8.820e-03,0.940313,0.821953
-8.800e-03,0.760312,0.665156
-8.780e-03,0.598125,0.520469
-8.760e-03,0.444688,0.388281
-8.740e-03,0.33875,0.271328
-8.720e-03,0.236562,0.183672
-8.700e-03,0.145938,0.116797
-8.680e-03,0.076875,0.0553906
-8.660e-03,0.0265625,0.00929687
-8.640e-03,-0.001875,-0.0160938
-8.620e-03,-0.01,-0.02125
-8.600e-03,0.0009375,-0.0110938
-8.580e-03,0.0334375,0.0202344
-8.560e-03,0.0815625,0.0710156
-8.540e-03,0.144062,0.134531
-8.520e-03,0.243438,0.207031
-8.500e-03,0.326563,0.297187
-8.480e-03,0.473125,0.417734
