x_meters,y_meters,altitude_meters
-5.734064860995316,4.670186919147001,2.9
-6.524970359146764,5.114966626069251,2.9
-6.524970359146764,5.114966626069251,2.9
-66.76560579495647,5.893331112122202,2.9
-10.01813630900995,7.2276702314743035,2.9
-10.01813630900995,7.2276702314743035,2.9
-10.01813630900995,7.2276702314743035,2.9
-14.23629896515385,9.785153545216252,2.9
-14.23629896515385,9.785153545216252,3.4
-14.23629896515385,9.785153545216252,3.4
-16.74083304240634,11.00829773748413,3.9
-16.74083304240634,11.00829773748413,3.9
-20.56354294973655,12.67622163738158,4.8
-20.56354294973655,12.67622163738158,4.8
-20.56354294973655,12.67622163738158,4.8
-24.51807044007453,14.45534046365593,6.5
-24.51807044007453,14.45534046365593,6.5
-27.41805726635034,15.678484656631131,7.5
-27.41805726635034,15.678484656631131,7.5
-27.41805726635034,15.678484656631131,7.5
-27.41805726635034,15.678484656631131,7.5
-31.636219922703862,17.791188262743507,9.1
-31.636219922703862,17.791188262743507,9.1
-34.3384803744156,19.459112162640956,10.5
-34.3384803744156,19.459112162640956,10.5
-34.3384803744156,19.459112162640956,10.5
-39.87481886074204,22.906154888105434,13.6
-39.87481886074204,22.906154888105434,13.6
-42.774805687017846,25.018858494925134,14.9
-42.774805687017846,25.018858494925134,14.9
-42.774805687017846,25.018858494925134,14.9
-45.74070130484994,26.686782394822583,16.3
-48.7725057140287,28.79948600093496,16.3
-48.7725057140287,28.79948600093496,16.3
-51.804310123312284,30.57860482720931,19.6
-51.804310123312284,30.57860482720931,19.6
-54.967932115498826,32.69130843402901,21.4
-54.967932115498826,32.69130843402901,21.4
-54.967932115498826,32.69130843402901,21.4
-54.967932115498826,32.69130843402901,21.4
-59.91109147834269,35.24879174635631,24.1
-59.91109147834269,35.24879174635631,24.1
-59.91109147834269,35.24879174635631,24.1
-59.91109147834269,35.24879174635631,24.1
-68.74286954017788,39.47419895858106,28.7
-68.74286954017788,39.47419895858106,28.7
-72.43376186450031,41.142122858478515,30.5
-72.43376186450031,41.142122858478515,30.5
-72.43376186450031,41.142122858478515,30.5
-78.16782672539081,43.25482646459089,33.1
-78.16782672539081,43.25482646459089,33.1
-82.12235421562399,44.58916558465032,34.7
-82.12235421562399,44.58916558465032,34.7
-82.12235421562399,44.58916558465032,34.7
-82.12235421562399,44.58916558465032,34.7
-82.12235421562399,44.58916558465032,34.7
-82.12235421562399,44.58916558465032,34.7
-82.12235421562399,44.58916558465032,34.7
-82.12235421562399,44.58916558465032,34.7
-96.75410592990596,48.36979309066014,40.0
-98.9290960495866,48.36979309066014,40.0
-98.9290960495866,48.36979309066014,40.0
-98.9290960495866,48.36979309066014,40.0
-107.56314773675292,50.03771698985027,44.2
-107.56314773675292,50.03771698985027,44.2
-111.58358401864719,51.705640889040396,45.7
-111.58358401864719,51.705640889040396,45.7
-115.66992909188814,53.03998000980714,47.2
-115.66992909188814,53.03998000980714,47.2
-119.82218295668538,54.70790390899727,48.7
-119.82218295668538,54.70790390899727,48.7
-123.90852803013594,56.375827808187395,50.3
-123.90852803013594,56.375827808187395,50.3
-127.86305552047392,58.488531415007095,51.6
-127.86305552047392,58.488531415007095,51.6
-131.8834918022634,60.712429947496375,52.7
-133.92666433893626,61.490794434963966,53.2
-137.94710062072573,64.04827774729127,53.2
-137.94710062072573,64.04827774729127,54.5
-137.94710062072573,64.04827774729127,54.5
-141.9016281110637,66.6057610603259,55.7
-141.9016281110637,66.6057610603259,55.7
-141.9016281110637,66.6057610603259,55.7
-149.48113913416782,72.4990921724481,55.7
-149.48113913416782,72.4990921724481,55.7
-153.17203145849027,75.50135519169766,59.0
-153.17203145849027,75.50135519169766,59.0
-156.8629237827079,78.94839791786946,60.0
-156.8629237827079,78.94839791786946,60.0
-156.8629237827079,78.94839791786946,60.0
-160.48790731547405,82.28424571695703,61.1
-160.48790731547405,82.28424571695703,61.1
-160.48790731547405,82.28424571695703,61.1
-165.76061063599457,87.84399204924121,62.7
-167.54014800654707,89.95669565535358,63.3
-167.54014800654707,89.95669565535358,63.3
-167.54014800654707,89.95669565535358,63.3
-167.54014800654707,89.95669565535358,63.3
-167.54014800654707,89.95669565535358,63.3
-167.54014800654707,89.95669565535358,63.3
-167.54014800654707,89.95669565535358,63.3
-180.72190630774355,102.18813758652023,67.4
-180.72190630774355,102.18813758652023,67.4
-180.72190630774355,102.18813758652023,67.4
-188.96050524578175,108.97102811107229,67.4
-188.96050524578175,108.97102811107229,67.4
-188.96050524578175,108.97102811107229,67.4
